train_losses,val_losses
0.11874768057465554,0.05441521583719457
0.0465709024220705,0.04138999129150142
0.037641570806503294,0.03403433731340982
0.03322558144728343,0.031095529827190205
0.030790877704819045,0.028808130526003686
0.028496222337086995,0.028548586994726607
0.027111886794368427,0.026380482526060116
0.02636599091688792,0.025539634214278233
0.025279306824008623,0.02492259347692449
0.024404987037181854,0.02532246724722233
0.02419801429907481,0.02343762368756406
0.023452085052927334,0.02278547716188304
0.023323506231109303,0.022908987695390872
0.022567193731665613,0.02325858169809935
0.022349809234340986,0.022832695701892707
0.022224267298976582,0.021910097321218
0.02192969207962354,0.021765374003889712
0.02118163961917162,0.02095043027099777
0.02129610113054514,0.021579734366783437
0.021055896622439226,0.020782954980956114
0.020747669758896033,0.02150903037808677
0.0207188786243399,0.02058395590791677
0.020619908936321735,0.02077605134431035
0.020169042033453783,0.019745605264572388
0.02010789049665133,0.019401172334526446
0.020055888359745342,0.019615350142517623
0.020316108604272208,0.02017623461545148
0.019593277340133986,0.019973797783097054
0.019721677037576834,0.019664693485073586
0.019263116461535296,0.01925480374670092
0.019300100602209568,0.01891437167935866
0.019082492833336195,0.019420203812261845
0.01916750436772903,0.01856404877802793
0.018961149384578067,0.019255722763928326
0.018757902897894384,0.019001728835258077
0.018684908596177895,0.019214440493824633
0.018648526849846046,0.018666807492759
0.018862701115508876,0.018997597775640005
0.01869216322650512,0.018400090687135433
0.018684252947568893,0.017833490925345648
0.018680137758453688,0.018459241094186583
0.01868474990626176,0.018001325874331783
0.01812721651047468,0.01913051041675375
0.018446778289973736,0.01901137728759266
0.01808719028532505,0.018397313136448885
0.018032177771131197,0.018282243655003767
0.018122117122014364,0.018336251506859316
0.018024733163416386,0.018236950337094195
0.017913209738830725,0.019176170774834588
0.018186441938082377,0.017801270433800653
0.017958387220899263,0.01829743102945863
0.017932946264743805,0.017700010425153564
0.017802497764428455,0.017736147217294003
0.01763918667534987,0.01804518285504681
0.017831919990479946,0.018229889257394886
0.01764472292860349,0.017871520204588452
0.01766505478322506,0.01939352987175609
0.017829032860696314,0.018808020694934306
0.017380836176375546,0.01735969017596638
0.017656724070509274,0.018100243963380443
0.01764467284331719,0.017915547448903956
0.0173413001075387,0.017042061165371474
0.017197906193633875,0.017237282813863553
0.01744806269556284,0.01739986976014173
0.01727629616856575,0.017559074558951754
0.017382871727148693,0.017154563981247074
0.01737242244184017,0.01701365269601662
0.017187224778036275,0.017130226669634912
0.017293452270329,0.017447458728751603
0.017093145752946536,0.017362993428523234
0.01711196430772543,0.0176506705800111
0.01744523628552755,0.017701506743484988
0.017116711954275766,0.017200255707064842
0.016911126792430876,0.01697231928243282
0.017171849166353545,0.01708783702726694
0.01698665198435386,0.016841980252177157
0.01707502735654513,0.017726796996244725
0.017247763484716416,0.01709184348781375
0.01709533655643463,0.017638183882499627
0.01702273834248384,0.016826344386456495
0.017008205922941368,0.017032390192864424
0.016973251084486645,0.017063337457465366
0.01684995489070813,0.017416337901290428
0.016760295391082765,0.017160652492670937
0.016685532584786417,0.01704704327548438
0.01688825667152802,0.016908778204642077
0.017026342491308848,0.01671978064436228
0.016827050427595774,0.017219612364994086
0.016912697076797486,0.016738476211878846
0.01680172100663185,0.017043990211838736
0.016860779526333015,0.017397267377360703
0.017071177519857882,0.01732506512842597
0.01704841913531224,0.016832584713367706
0.01693211271117131,0.016706688775423358
0.016803868594268957,0.01685743878020885
0.01667070428530375,0.016585234057237493
0.01673169477035602,0.016642226312468027
0.016900916658341883,0.016921106973623343
0.016673929202059904,0.017503951141174805
0.016702825809518495,0.017738039228827395
